kecamatan,desa,nama_poktan
Arjosari,Arjosari,Desa Arjosari
Arjosari,Bandar,Desa Bandar
Arjosari,Donorojo,Desa Belah
Arjosari,Kebonagung,Desa Banjarjo
Arjosari,Nawangan,Desa Gondang
Arjosari,Ngadirojo,Desa Bodag
Arjosari,Pacitan,Desa Arjowinangun
Arjosari,Pringkuku,Desa Candi
Arjosari,Punung,Desa Bomo
Arjosari,Sudimoro,Desa Gunung Rejo
Arjosari,Tegalombo,Desa Gedangan
Arjosari,Tulakan,Desa Bubakan
Arjosari,Desa Arjosari,Kwt Ngudi Rejeki Lancar
Arjosari,Desa Borang,Kwt Sido Lestari
Arjosari,Desa Gayuhan,Kwt Gayuh Sehat I
Arjosari,Desa Gegeran,Kwt Tani Maju
Arjosari,Desa Gembong,Kwt Sumber Urip I
Arjosari,Desa Gunungsari,Kwt Dahlia
Arjosari,Desa Jatimalang,Kwt Eka Mandiri
Arjosari,Desa Jetis Kidul,Sido Subur I
Arjosari,Desa Karanggede,Kwt Mawar
Arjosari,Desa Karangrejo,Sumber Urip I
Arjosari,Desa Kedungbendo,Kwt Sido Makmur
Arjosari,Desa Mangunharjo,Kwt Dahlia
Arjosari,Desa Mlati,Kwt Sekar Tanjung
Arjosari,Desa Pagutan,Kwt Mawar
Arjosari,Desa Sedayu,Makmur Rukun I
Arjosari,Desa Temon,Akur I
Arjosari,Desa Tremas,Kwt Pertiwi
Arjosari,Desa Bandar,Bintang Timur
Arjosari,Desa Bangunsari Bandar,Blimbing Tani
Arjosari,Desa Jeruk,Budi Luhur
Arjosari,Desa Kledung,Blorok Madu
Arjosari,Desa Ngunut,Kwt. Melati
Arjosari,Desa Petungsinarang,Kenanga I
Arjosari,Desa Tumpuk,Anggiat Tani
Arjosari,Desa Watupatok,Dadi Makmur
Arjosari,Desa Belah,Dadi Makmur
Arjosari,Desa Cemeng,Edi Peni
Arjosari,Desa Donorojo,Jati Diri
Arjosari,Desa Gedompol,Budi Lestari
Arjosari,Desa Gendaran,Dadi Mulyo
Arjosari,Desa Kalak,Kwt. Kelapa Sari
Arjosari,Desa Klepu Donorojo,Loh Jinawi
Arjosari,Desa Sawahan,Bakti Tani
Arjosari,Desa Sekar,Kwt Sekar Arum Sejahtera
Arjosari,Desa Sendang,Gebang Wonokarto
Arjosari,Desa Sukodono,Assalam
Arjosari,Desa Widoro (Donorojo),Lestari
Arjosari,Desa Banjarjo,Sumber Makmur 1
Arjosari,Desa Gawang,Setyo Maju 1
Arjosari,Desa Gembuk,Tri Karsa 1
Arjosari,Desa Kalipelus,Tani Maju 1
Arjosari,Desa Karanganyar,Gotong Royong 1
Arjosari,Desa Karangnongko,Sedyo Makmur 1
Arjosari,Desa Katipugal,Pratolo Mulyo 1
Arjosari,Desa Kebonagung,Mentes 1
Arjosari,Desa Ketepung,Sido Mekar 1
Arjosari,Desa Ketro (Kebonagung),Sido Maju 1
Arjosari,Desa Klesem,Sari Tani 1
Arjosari,Desa Mantren (Kebonagung),Margo Subur 1
Arjosari,Desa Plumbungan,Lestari I
Arjosari,Desa Punjung,Ngudi Makmur 1
Arjosari,Desa Purwoasri,Sumber Asri 1
Arjosari,Desa Sanggrahan,Setya Usaha I
Arjosari,Desa Sidomulyo (Kebonagung),Bumi Harum 1
Arjosari,Desa Wonogondo,Sido Rejo 1
Arjosari,Desa Worawari,Sido Makmur 1
Arjosari,Desa Gondang,Dewi Sinto
Arjosari,Desa Jetislor,Dewi Sri
Arjosari,Desa Mujing,Karya Makmur I
Arjosari,Desa Nawangan,Ledok Sari
Arjosari,Desa Ngromo,Arum Tani
Arjosari,Desa Pakisbaru,Baru Wungu
Arjosari,Desa Penggung,Karya Makmur
Arjosari,Desa Sempu,Berkah Tani
Arjosari,Desa Tokawi,Gemah Ripah
Arjosari,Desa Bodag,Ngudi Luhur I
Arjosari,Desa Bogoharjo,Kwt Mardi Rahayu
Arjosari,Desa Cangkring,Sukodono I
Arjosari,Desa Cokrokembang,Rukun Makmur I
Arjosari,Desa Hadiluwih,Melati
Arjosari,Desa Hadiwarno,Matahari
Arjosari,Desa Ngadirojo,Mekarsari I
Arjosari,Desa Nogosari,Karya Mulya I
Arjosari,Desa Pagerejo,Bangunrejo I
Arjosari,Desa Sidomulyo (Ngadirojo),Kwt. Lestari Mulyo
Arjosari,Desa Tanjunglor,Margo Rukun I
Arjosari,Desa Tanjungpuro,Makmur I
Arjosari,Desa Wiyoro,Mardi Rejo I
Arjosari,Desa Wonoasri,Eras Asri I
Arjosari,Desa Wonodadi Kulon,Dharma Bakti
Arjosari,Desa Wonodadi Wetan,Sido Makmur I
Arjosari,Desa Wonokarto,Eras I
